prompt_category,prompt_item,worker_id,color_id,hex_value,response_category,response_item,source,frequency
superheroes,Batman,A1KSE9KF1WP564,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,A3HAVQI8I8MIO8,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,A12IGQUIDFHJAZ,34,20204,superheroes,Batman,autoinsert,9123.23
emotions,sadness,A1JP6JKZOZE3Y7,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,A1WR3208ER8Q9D,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,AGL4Q493D0P7T,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,A3FGJQZAB81TXE,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,A29HE4W3W4C9NN,34,20204,superheroes,Batman,autoinsert,9123.23
superheroes,Batman,A1JP6JKZOZE3Y7,35,6F6F7B,superheroes,Batman,autoinsert,2443.65
emotions,anger,A1JP6JKZOZE3Y7,35,6F6F7B,superheroes,Batman,autoinsert,2443.65
superheroes,Batman,ATNXEVTO6568Z,35,6F6F7B,superheroes,Batman,autoinsert,2443.65
soda,Sprite,ATNXEVTO6568Z,37,221E3A,superheroes,Superman,autoinsert,4547.2
superheroes,Superman,A3HAVQI8I8MIO8,38,054B84,superheroes,Superman,autoinsert,1381.13
superheroes,Superman,A12IGQUIDFHJAZ,38,054B84,superheroes,Superman,autoinsert,1381.13
superheroes,Superman,A1WR3208ER8Q9D,38,054B84,superheroes,Superman,autoinsert,1381.13
soda,Pepsi,ATNXEVTO6568Z,38,054B84,superheroes,Superman,autoinsert,1381.13
emotions,anger,A12IGQUIDFHJAZ,40,8D1B16,superheroes,Superman,autoinsert,3824.19
countries,United States,A3HAVQI8I8MIO8,40,8D1B16,superheroes,Superman,autoinsert,3824.19
superheroes,Superman,A1JP6JKZOZE3Y7,40,8D1B16,superheroes,Superman,autoinsert,3824.19
superheroes,Superman,A1KSE9KF1WP564,40,8D1B16,superheroes,Superman,autoinsert,3824.19
superheroes,Superman,A3FGJQZAB81TXE,40,8D1B16,superheroes,Superman,autoinsert,3824.19
countries,United States,A29HE4W3W4C9NN,40,8D1B16,superheroes,Superman,autoinsert,3824.19
superheroes,Spiderman,A12IGQUIDFHJAZ,42,03060D,superheroes,Spiderman,autoinsert,4319.1
superheroes,Superman,ATNXEVTO6568Z,42,03060D,superheroes,Spiderman,autoinsert,4319.1
superheroes,Spiderman,A2SV374Q227LEN,44,90130C,superheroes,Spiderman,autoinsert,1938.74
superheroes,Spiderman,A1JP6JKZOZE3Y7,44,90130C,superheroes,Spiderman,autoinsert,1938.74
fruits,Strawberry fruit,AGL4Q493D0P7T,44,90130C,superheroes,Spiderman,autoinsert,1938.74
superheroes,Spiderman,A3HAVQI8I8MIO8,44,90130C,superheroes,Spiderman,autoinsert,1938.74
superheroes,Spiderman,A3FGJQZAB81TXE,44,90130C,superheroes,Spiderman,autoinsert,1938.74
superheroes,Spiderman,AGL4Q493D0P7T,44,90130C,superheroes,Spiderman,autoinsert,1938.74
superheroes,Green Lantern,A1KSE9KF1WP564,45,2F6011,superheroes,Green Lantern,autoinsert,5481.82
superheroes,Green Lantern,A3HAVQI8I8MIO8,45,2F6011,superheroes,Green Lantern,autoinsert,5481.82
superheroes,Green Lantern,A12IGQUIDFHJAZ,45,2F6011,superheroes,Green Lantern,autoinsert,5481.82
superheroes,Green Lantern,AGL4Q493D0P7T,45,2F6011,superheroes,Green Lantern,autoinsert,5481.82
superheroes,Green Lantern,A1WR3208ER8Q9D,45,2F6011,superheroes,Green Lantern,autoinsert,5481.82
superheroes,Green Lantern,A3FGJQZAB81TXE,45,2F6011,superheroes,Green Lantern,autoinsert,5481.82
superheroes,Green Lantern,A2SV374Q227LEN,48,8DC794,superheroes,Green Lantern,autoinsert,3894.83
soda,Coca-cola,A1JP6JKZOZE3Y7,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A12IGQUIDFHJAZ,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A3HAVQI8I8MIO8,50,C80904,soda,Coca-cola,autoinsert,3704.52
superheroes,Spiderman,A1KSE9KF1WP564,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A1WR3208ER8Q9D,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A1KSE9KF1WP564,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A2SV374Q227LEN,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A29HE4W3W4C9NN,50,C80904,soda,Coca-cola,autoinsert,3704.52
soda,Coca-cola,A3FGJQZAB81TXE,50,C80904,soda,Coca-cola,autoinsert,3704.52
emotions,sadness,AGL4Q493D0P7T,52,2C1315,soda,Coca-cola,autoinsert,1696.6
soda,Coca-cola,AGL4Q493D0P7T,52,2C1315,soda,Coca-cola,autoinsert,1696.6
soda,Pepsi,A12IGQUIDFHJAZ,53,103467,soda,Pepsi,autoinsert,6609.49
soda,Pepsi,A1KSE9KF1WP564,53,103467,soda,Pepsi,autoinsert,6609.49
soda,Pepsi,A2SV374Q227LEN,53,103467,soda,Pepsi,autoinsert,6609.49
soda,Pepsi,A3HAVQI8I8MIO8,53,103467,soda,Pepsi,autoinsert,6609.49
soda,Pepsi,A29HE4W3W4C9NN,53,103467,soda,Pepsi,autoinsert,6609.49
soda,Pepsi,A1JP6JKZOZE3Y7,54,A75C5F,soda,Pepsi,autoinsert,598.941
tech companies,Twitter,A1JP6JKZOZE3Y7,54,A75C5F,soda,Pepsi,autoinsert,598.941
soda,Pepsi,A3FGJQZAB81TXE,55,90B8CE,soda,Pepsi,autoinsert,3583.45
emotions,happiness,ATNXEVTO6568Z,55,90B8CE,soda,Pepsi,autoinsert,3583.45
soda,Pepsi,AGL4Q493D0P7T,56,321518,soda,Pepsi,autoinsert,621.716
soda,Sprite,A12IGQUIDFHJAZ,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Sprite,A1KSE9KF1WP564,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Sprite,A3HAVQI8I8MIO8,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Sprite,A2SV374Q227LEN,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Sprite,A3FGJQZAB81TXE,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Sprite,A1WR3208ER8Q9D,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Sprite,A29HE4W3W4C9NN,57,2A8503,soda,Sprite,autoinsert,8766.21
countries,Brazil,A29HE4W3W4C9NN,57,2A8503,soda,Sprite,autoinsert,8766.21
soda,Pepsi,A1WR3208ER8Q9D,60,61186,soda,Sprite,autoinsert,243.824
countries,United States,A3FGJQZAB81TXE,60,61186,soda,Sprite,autoinsert,243.824
soda,Root beer,A3HAVQI8I8MIO8,61,712F16,soda,Root beer,autoinsert,654.199
soda,Root beer,A2SV374Q227LEN,61,712F16,soda,Root beer,autoinsert,654.199
soda,Root beer,AGL4Q493D0P7T,61,712F16,soda,Root beer,autoinsert,654.199
soda,Root beer,A29HE4W3W4C9NN,61,712F16,soda,Root beer,autoinsert,654.199
soda,Root beer,A12IGQUIDFHJAZ,62,AD8C66,soda,Root beer,autoinsert,5327.35
soda,Root beer,A1JP6JKZOZE3Y7,62,AD8C66,soda,Root beer,autoinsert,5327.35
superheroes,Green Lantern,A1JP6JKZOZE3Y7,62,AD8C66,soda,Root beer,autoinsert,5327.35
soda,Root beer,A1KSE9KF1WP564,64,281B12,soda,Root beer,autoinsert,1566.95
soda,Root beer,ATNXEVTO6568Z,64,281B12,soda,Root beer,autoinsert,1566.95
soda,Root beer,A3FGJQZAB81TXE,64,281B12,soda,Root beer,autoinsert,1566.95
countries,Iceland,ATNXEVTO6568Z,65,0B101D,countries,Iceland,autoinsert,2392.32
emotions,anger,A3FGJQZAB81TXE,65,0B101D,countries,Iceland,autoinsert,2392.32
countries,Iceland,A2SV374Q227LEN,67,97BECC,countries,Iceland,autoinsert,11222.2
countries,Iceland,A3HAVQI8I8MIO8,67,97BECC,countries,Iceland,autoinsert,11222.2
countries,Iceland,AGL4Q493D0P7T,67,97BECC,countries,Iceland,autoinsert,11222.2
countries,Iceland,A3FGJQZAB81TXE,67,97BECC,countries,Iceland,autoinsert,11222.2
tech companies,Twitter,A2SV374Q227LEN,68,0A7BC5,countries,Iceland,autoinsert,1069.63
countries,Iceland,A1JP6JKZOZE3Y7,68,0A7BC5,countries,Iceland,autoinsert,1069.63
countries,Iceland,A1KSE9KF1WP564,68,0A7BC5,countries,Iceland,autoinsert,1069.63
countries,Iceland,A12IGQUIDFHJAZ,68,0A7BC5,countries,Iceland,autoinsert,1069.63
countries,Iceland,A1WR3208ER8Q9D,68,0A7BC5,countries,Iceland,autoinsert,1069.63
countries,Iceland,A29HE4W3W4C9NN,68,0A7BC5,countries,Iceland,autoinsert,1069.63
countries,China,ATNXEVTO6568Z,69,639036,countries,China,autoinsert,941.906
fruits,Pear fruit,A29HE4W3W4C9NN,69,639036,countries,China,autoinsert,941.906
tech companies,Yelp,A1JP6JKZOZE3Y7,70,0800C8,countries,China,autoinsert,23.1927
countries,China,A1KSE9KF1WP564,71,890A05,countries,China,autoinsert,2342.24
countries,China,A1JP6JKZOZE3Y7,71,890A05,countries,China,autoinsert,2342.24
tech companies,Yelp,A12IGQUIDFHJAZ,71,890A05,countries,China,autoinsert,2342.24
countries,China,A1WR3208ER8Q9D,71,890A05,countries,China,autoinsert,2342.24
superheroes,Green Lantern,ATNXEVTO6568Z,71,890A05,countries,China,autoinsert,2342.24
countries,China,A29HE4W3W4C9NN,71,890A05,countries,China,autoinsert,2342.24
countries,China,AGL4Q493D0P7T,72,E1D7C3,countries,China,autoinsert,6639.79
tech companies,Twitter,ATNXEVTO6568Z,72,E1D7C3,countries,China,autoinsert,6639.79
countries,Brazil,A12IGQUIDFHJAZ,73,63A31D,countries,Brazil,autoinsert,5132.09
countries,Brazil,A1KSE9KF1WP564,73,63A31D,countries,Brazil,autoinsert,5132.09
countries,Brazil,A3HAVQI8I8MIO8,73,63A31D,countries,Brazil,autoinsert,5132.09
countries,Brazil,A2SV374Q227LEN,73,63A31D,countries,Brazil,autoinsert,5132.09
countries,Brazil,A1WR3208ER8Q9D,73,63A31D,countries,Brazil,autoinsert,5132.09
countries,Brazil,ATNXEVTO6568Z,73,63A31D,countries,Brazil,autoinsert,5132.09
countries,Brazil,A3FGJQZAB81TXE,73,63A31D,countries,Brazil,autoinsert,5132.09
soda,Sprite,A1JP6JKZOZE3Y7,75,90419,countries,Brazil,autoinsert,1393.94
countries,Brazil,AGL4Q493D0P7T,75,90419,countries,Brazil,autoinsert,1393.94
countries,United States,ATNXEVTO6568Z,77,43A7CC,countries,United States,autoinsert,12114.6
countries,United States,AGL4Q493D0P7T,77,43A7CC,countries,United States,autoinsert,12114.6
countries,United States,A2SV374Q227LEN,79,992134,countries,United States,autoinsert,910.564
fruits,Strawberry fruit,A1JP6JKZOZE3Y7,79,992134,countries,United States,autoinsert,910.564
emotions,happiness,A12IGQUIDFHJAZ,81,D1AB8B,emotions,happiness,autoinsert,8048.85
emotions,happiness,A1JP6JKZOZE3Y7,82,6F9D2D,emotions,happiness,autoinsert,1610.13
tech companies,Hulu,A3HAVQI8I8MIO8,82,6F9D2D,emotions,happiness,autoinsert,1610.13
emotions,happiness,A3HAVQI8I8MIO8,82,6F9D2D,emotions,happiness,autoinsert,1610.13
emotions,happiness,AGL4Q493D0P7T,82,6F9D2D,emotions,happiness,autoinsert,1610.13
emotions,happiness,A3FGJQZAB81TXE,82,6F9D2D,emotions,happiness,autoinsert,1610.13
emotions,sadness,A12IGQUIDFHJAZ,85,9CA08F,emotions,sadness,autoinsert,4114.8
emotions,sadness,ATNXEVTO6568Z,85,9CA08F,emotions,sadness,autoinsert,4114.8
soda,Root beer,A1WR3208ER8Q9D,85,9CA08F,emotions,sadness,autoinsert,4114.8
emotions,sadness,A29HE4W3W4C9NN,85,9CA08F,emotions,sadness,autoinsert,4114.8
emotions,sadness,A3HAVQI8I8MIO8,86,30304,emotions,sadness,autoinsert,1031.34
emotions,anger,AGL4Q493D0P7T,86,30304,emotions,sadness,autoinsert,1031.34
emotions,sadness,A3FGJQZAB81TXE,86,30304,emotions,sadness,autoinsert,1031.34
emotions,sadness,A2SV374Q227LEN,88,3E3F3B,emotions,sadness,autoinsert,3091.32
emotions,sadness,A1WR3208ER8Q9D,88,3E3F3B,emotions,sadness,autoinsert,3091.32
countries,China,A3FGJQZAB81TXE,88,3E3F3B,emotions,sadness,autoinsert,3091.32
countries,United States,A1JP6JKZOZE3Y7,89,210806,emotions,anger,autoinsert,661.966
emotions,anger,A29HE4W3W4C9NN,89,210806,emotions,anger,autoinsert,661.966
emotions,anger,A2SV374Q227LEN,90,930604,emotions,anger,autoinsert,1310.17
emotions,anger,A1KSE9KF1WP564,90,930604,emotions,anger,autoinsert,1310.17
countries,China,A12IGQUIDFHJAZ,90,930604,emotions,anger,autoinsert,1310.17
emotions,anger,A3HAVQI8I8MIO8,90,930604,emotions,anger,autoinsert,1310.17
countries,China,A3HAVQI8I8MIO8,90,930604,emotions,anger,autoinsert,1310.17
superheroes,Spiderman,A1WR3208ER8Q9D,90,930604,emotions,anger,autoinsert,1310.17
emotions,anger,ATNXEVTO6568Z,90,930604,emotions,anger,autoinsert,1310.17
tech companies,Yelp,AGL4Q493D0P7T,91,B35447,emotions,anger,autoinsert,2201
tech companies,Yelp,A2SV374Q227LEN,93,E0A430,emotions,fear,autoinsert,683.229
emotions,fear,A1JP6JKZOZE3Y7,93,E0A430,emotions,fear,autoinsert,683.229
superheroes,Superman,A2SV374Q227LEN,93,E0A430,emotions,fear,autoinsert,683.229
superheroes,Spiderman,ATNXEVTO6568Z,93,E0A430,emotions,fear,autoinsert,683.229
fruits,Banana fruit,A29HE4W3W4C9NN,93,E0A430,emotions,fear,autoinsert,683.229
emotions,fear,A12IGQUIDFHJAZ,95,0F0908,emotions,fear,autoinsert,13667.1
emotions,fear,A3HAVQI8I8MIO8,95,0F0908,emotions,fear,autoinsert,13667.1
emotions,fear,A1KSE9KF1WP564,95,0F0908,emotions,fear,autoinsert,13667.1
emotions,fear,A2SV374Q227LEN,95,0F0908,emotions,fear,autoinsert,13667.1
emotions,fear,A1WR3208ER8Q9D,95,0F0908,emotions,fear,autoinsert,13667.1
